"","region_code","region_description","parent_location","facility_state","site_type","inventory_type"
"132","","","Lewisville Lake","","",""
"133","","","Loyalhanna Lake","","",""
"134","","","Lucky Peak Lake","","",""
"135","","","Marion Reservoir","","",""
"136","","","Mark Twain Lake","","",""
"137","","","Martis Creek Lake","","",""
"138","","","Melvern Lake","","",""
"139","","","Mendocino Lake","","",""
"140","","","Milford Lake","","",""
"141","","","Millwood Lake","","",""
"142","","","Mississippi River - Pool 9","","",""
"143","","","Mississippi River - Pools 11-22","","",""
"144","","","Mississippi River Headwaters - Cross Lake","","",""
"145","","","Mississippi River Headwaters - Gull Lake","","",""
"146","","","Mississippi River Headwaters - Leech Lake","","",""
"147","","","Mississippi River Headwaters - Pokegema Lake","","",""
"148","","","Mississippi River Headwaters - Sandy Lake","","",""
"149","","","Mississippi River Headwaters - Winnibigosh Lake","","",""
"150","","","Navarro Mills Lake","","",""
"151","","","New Hogan Lake","","",""
"152","","","Nimrod Lake","","",""
"153","","","Nolin River Lake","","",""
"154","","","Norfork Lake","","",""
"155","","","North Hartland Lake","","",""
"156","","","North Springfield Lake","","",""
"157","","","Northfield Brook Lake","","",""
"158","","","Okatibbee Lake","","",""
"159","","","Old Hickory Lake","","",""
"160","","","Oologah Lake","","",""
"161","","","Otter Brook Lake","","",""
"162","","","Ozark Lake","","",""
"163","","","Paint Creek Lake","","",""
"164","","","Pat Mayse Lake","","",""
"165","","","Perry Lake","","",""
"166","","","Philpott Lake","","",""
"167","","","Pine Creek Lake","","",""
"168","","","Pine Flat Lake","","",""
"169","","","Pomme De Terre Lake","","",""
"170","","","Pomona Lake","","",""
"171","","","Proctor Lake","","",""
"172","","","R.D. Bailey Lake","","",""
"173","","","Rathbun Lake","","",""
"174","","","Raystown Lake","","",""
"175","","","Rend Lake","","",""
"176","","","Rough River Lake","","",""
"177","","","Sakakawea Lake","","",""
"178","","","Sam Rayburn Reservoir","","",""
"179","","","Sardis Lake","","",""
"180","","","Saylorville Lake","","",""
"181","","","Shenango River Lake","","",""
"182","","","Skiatook Lake","","",""
"183","","","Somerville Lake","","",""
"184","","","Stanislaus River Parks","","",""
"185","","","Steinhagen Lake","","",""
"186","","","Stillhouse Hollow Lake","","",""
"187","","","Stockton Lake","","",""
"188","","","Success Lake","","",""
"189","","","Summersville Lake","","",""
"190","","","Surry Mountain Lake","","",""
"191","","","Sutton Lake","","",""
"192","","","Table Rock Lake","","",""
"193","","","Tenkiller Ferry Lake","","",""
"194","","","Tennessee-Tombigbee Waterway","","",""
"195","","","Tioga-Hammond Lakes","","",""
"196","","","Tionesta Lake","","",""
"197","","","Townshend Lake","","",""
"198","","","Tully Lake","","",""
"199","","","Tuttle Creek Lake","","",""
